"40.70673231 74.00926988"
"40.71372209 73.99950131"
"40.72021014 74.00780934"
"40.71483907 73.98897667"
"40.72566589 73.98329260"
"40.73399547 74.00272981"
"40.73369048 73.97835929"
"40.73954419 73.98995062"
"40.74470829 73.97852587"
"40.74554438 74.00198274"
"40.75041207 73.99001301"
"40.74834196 73.96591748"
"40.76127575 73.99423464"
"40.76512448 73.97263842"
"40.75707482 73.92495173"
"40.77025194 73.94867486"
"40.77854787 73.92234382"
"40.78969084 73.95675726"
"40.78855319 73.93028273"
"40.78469557 73.95844156"
"40.79408424 73.94043288"
"40.80568727 73.93036123"
"40.80995796 73.94163090"
"40.82380193 73.95038049"
"40.82225178 73.92907454"
"40.82818177 73.93930007"
"40.82251712 73.91567158"
"40.81381607 73.91550061"
"40.80673859 73.90577732"
"40.80650652 73.87799543"
"40.81281701 73.89396819"
"40.81722020 73.90721956"
"40.82125649 73.91461143"
"40.82886070 73.89424722"
"40.82872921 73.91310734"
"40.81958852 73.95054117"
"40.82785600 73.94012438"
"40.82322183 73.88844842"
"40.82945677 73.89390952"
"40.83502647 73.91109309"
"40.84508629 73.93979375"
"40.83307424 73.91545895"
"40.81359532 73.89819173"
"40.83010057 73.89772219"
"40.81235985 73.85329066"
"40.81789660 73.87083715"
"40.82467779 73.86106312"
"40.82541000 73.85157433"
"40.83377491 73.86282376"
"40.84025548 73.87611305"
"40.82683762 73.90007532"
"40.84938511 73.92275353"
"40.84286480 73.89543126"
"40.84137593 73.88168857"
"40.82801288 73.87025810"
"40.83960006 73.84455194"
"40.84553768 73.86279331"
"40.84793948 73.88161877"
"40.85316643 73.89776112"
"40.84643944 73.87922994"
"40.84811519 73.84815522"
"40.84221753 73.83384183"
"40.81280084 73.84378753"
"40.80988269 73.83256420"
"40.82213574 73.82545874"
"40.81324186 73.80560223"
"40.82353496 73.81886527"
"40.83267180 73.82610053"
"40.84335745 73.82375947"
"40.84861259 73.84202102"
"40.84107660 73.85120856"
"40.84445476 73.90030413"
"40.85098010 73.87211439"
"40.84970375 73.85723553"
"40.85524756 73.87504670"
"40.86775479 73.92507941"
"40.87157788 73.90093107"
"40.86869033 73.88480359"
"40.86408534 73.85414454"
"40.86429172 73.82159159"
"40.85860790 73.84627302"
"40.85670171 73.85456926"
"40.86785963 73.88570757"
"40.87677515 73.89947936"
"40.87705282 73.91347743"
"40.87782418 73.89003356"
"40.87506792 73.86880551"
"40.87125609 73.85222235"
"40.87822075 73.85634205"
"40.87386469 73.84117038"
"40.87178864 73.81552264"
"40.87797828 73.83831038"
"40.87117277 73.85589940"
"40.87117269 73.87631129"
"40.87524109 73.89048533"
"40.88048637 73.90665527"
"40.87766099 73.88733678"
"40.87275747 73.85716671"
"40.88380288 73.89056363"
"40.89287021 73.90052127"
"40.89496959 73.86564519"
"40.88426288 73.85249554"
"40.88283310 73.84144123"
"40.88957878 73.85090940"
"40.89683150 73.87481555"
"40.90244573 73.89517720"
"40.90310228 73.89097050"
"40.89967926 73.87101621"
"40.89971175 73.84925788"
"40.89242959 73.82783292"
"40.88774465 73.81292089"
"40.87421004 73.79615566"
"40.87961450 73.81549332"
"40.88542094 73.79751380"
"40.89063096 73.78232316"
"40.89748619 73.77446376"
"40.90274623 73.78999846"
"40.89685697 73.79813991"
"40.89932535 73.80827123"
"40.89351698 73.82287223"
"40.88769949 73.84331552"
"40.87906939 73.84733360"
"40.89383646 73.84393118"
"40.90079331 73.87186243"
"40.89327257 73.85191557"
"40.87067688 73.84999399"
"40.86453777 73.89286310"
"40.85421570 73.89883240"
"40.85891249 73.91240953"
"40.86065190 73.88529028"
"40.86398617 73.87595158"
"40.85007808 73.87015948"
"40.83874640 73.88249174"
"40.83732446 73.90626981"
"40.89717716 73.88388594"
"40.90117428 73.86314833"
"40.89487963 73.84564348"
"40.89276033 73.83329574"
"40.89253681 73.81966044"
"40.90030021 73.77768000"
"40.90365244 73.78874615"
"40.89656416 73.80547906"
"40.90279518 73.82788568"
"40.89676389 73.84457458"
"40.90157276 73.86307215"
"40.88520039 73.85640437"
"40.87875253 73.83747705"
"40.87625481 73.82094941"
"40.86404647 73.81089382"
"40.85852284 73.79526104"
"40.87449063 73.79463806"
"40.87836644 73.80469114"
"40.87234182 73.79029011"
"40.86928463 73.80274045"
"40.86183108 73.81969182"
"40.86765571 73.81072028"
"40.87190655 73.82402226"
"40.88103881 73.83599032"
"40.87889855 73.84343433"
"40.88313646 73.82922954"
"40.89008172 73.82364598"
"40.89429518 73.80903948"
"40.89329779 73.79181774"
"40.89863303 73.79333932"
"40.89221871 73.82662225"
"40.89065644 73.91160500"
"40.87600731 73.91367567"
"40.81094936 73.91388572"
"40.79198004 73.92327781"
"40.77849448 73.93527207"
"40.79553377 73.88200033"
"40.78351371 73.90406608"
"40.77059930 73.92256945"
"40.77267173 73.90064664"
"40.77113821 73.87542689"
"40.76228316 73.90497480"
"40.75524012 73.92189485"
"40.75563090 73.90154503"
"40.75973614 73.87805699"
"40.75810621 73.89655504"
"40.75122885 73.92362351"
"40.74200324 73.93688325"
"40.74608574 73.94924312"
"40.74032990 73.93287543"
"40.73418196 73.91669783"
"40.74319917 73.91038877"
"40.75428701 73.90684458"
"40.75151227 73.89580877"
"40.75605573 73.88585278"
"40.76701395 73.86996367"
"40.75910154 73.86407787"
"40.74981265 73.85792948"
"40.75060246 73.88379266"
"40.74330150 73.89410364"
"40.73466831 73.86914054"
"40.73940358 73.91020961"
"40.72839566 73.91607234"
"40.72828231 73.93942366"
"40.73527511 73.95134164"
"40.72778873 73.92876553"
"40.71293244 73.94245122"
"40.69881561 73.96920481"
"40.70049017 73.94848288"
"40.70448285 73.93915590"
"40.70668109 73.92198130"
"40.70843296 73.90474995"
"40.71361317 73.89046253"
"40.70701631 73.87721057"
"40.69823968 73.86813085"
"40.71316776 73.87883598"
"40.72136626 73.88853115"
"40.72998964 73.86908700"
"40.73624825 73.88595090"
"40.73502037 73.86092958"
"40.72505636 73.87295383"
"40.73168192 73.86914394"
